Código [-],Município [-],UF [-],DC [2024],RCL [2024],CAPAG [2024]
2500908,Arara,PB,5249746.91,60263403.83,n.e.
4201406,Araranguá,SC,23624172.91,313596693.3,A
3503208,Araraquara,SP,315866836.95,1642804329.46,C
3503307,Araras,SP,252312745.76,815940957.13,C
2301257,Ararendá,CE,3021655.02,83422800.42,A
2101004,Arari,MA,39502687.85,159999225.61,n.d.
4300877,Araricá,RS,7237556.15,60078630.31,C
2301307,Araripe,CE,22720411.0,107862977.6,C
2601102,Araripina,PE,225805646.61,318131238.47,C
3300209,Araruama,RJ,25985607.11,1121422027.33,B
2501005,Araruna,PB,19524198.09,96575551.32,n.d.
4101705,Araruna,PR,20748399.39,79375791.37,B
2902252,Arataca,BA,35472518.75,73598817.96,C
4300901,Aratiba,RS,20229674.96,85857145.56,A
2301406,Aratuba,CE,9886113.34,76584927.63,C
2902302,Aratuípe,BA,17460469.34,46281383.8,C
2800407,Arauá,SE,53568926.8,65271644.21,C
4101804,Araucária,PR,294731512.04,1528597052.17,A
3103900,Araújos,MG,3089046.71,43525090.44,B
3104007,Araxá,MG,23562083.47,703424701.07,C
3104106,Arceburgo,MG,5365647.17,54702240.65,C
3503356,Arco-Íris,SP,718119.37,27751691.22,A
3104205,Arcos,MG,2448208.7,203492453.43,C
2601201,Arcoverde,PE,46719892.3,292274352.31,C
3104304,Areado,MG,1646049.03,64729863.54,C
3300225,Areal,RJ,18239930.2,45306692.01,A
3503406,Arealva,SP,3277648.39,51885299.84,n.d.
2501104,Areia,PB,19204482.42,105458148.03,B
2401107,Areia Branca,RN,10095447.46,148709511.79,C
2800506,Areia Branca,SE,43159511.72,109244661.38,C
2501153,Areia de Baraúnas,PB,8333.76,26422846.83,B
2501203,Areial,PB,1730844.96,42737829.95,B
3503505,Areias,SP,11277336.64,39282696.93,C
3503604,Areiópolis,SP,7033063.11,53967021.36,C
5101308,Arenápolis,MT,20557.58,68041874.91,B
